Tweets,category,misogyny,target,HS
@DimaSadek يا بقرة انت يا زبالة لو انك بتابعي لعم يصير من رأسك ما بتحفظي كنت بتعرفي انو الوثائق من زمان مع القاضي التمييزي بس انت وحدة عاهرة,discredit,misogyny,active,1
@DimaSadek الله يشفي كل مريض نفسي ويشفيك بالطريقة,none,none,none,0
@ALJADEEDNEWS نانسي السبع فتانة,none,none,none,0
@julie_khoury1 @NicoleHajal مش مشكل ... فرفتو يا بيبي... بلشت بشامل و افرام و مكفاية. و حلم الصهر بالرئاسة، متل عشم… https://t.co/SUNDf4ja6C,none,none,none,0
@DimaSadek تفوووووو عليك يا جربوعه ، عرفتك من اذنيك https://t.co/xTAu40YLAs,discredit,misogyny,active,1
@yumnafawaz دخل اللدغه انا دخل لصار يعرف يحكي ��,stereotyping & objectification,misogyny,active,1
@DimaSadek العمى بيقلبك شو بلى كرامة ولوو,discredit,misogyny,active,1
"@yumnafawaz يمنى مش كنتي مبسوطة بس انشتمت انو لجبران ونزلتي تويت في فرح؟..
#انفصام",discredit,misogyny,active,1
@yumnafawaz لعمى ما اسخفيك....,discredit,misogyny,active,1
@DimaSadek هيدي وحدتنا الوطنية كلنا ضد الظلم كلنا ضد هالحكم #كلكن_يعني_كلكن وشكراً لمل من ينقل صورة طرابلس السلمية #شكراً_ديما_صادق,none,none,none,0
"@NicoleHajal @PaulaYacoubian حضرتك لي قاعدة بل بيت
قاعدة عل تي في و عم بتنظري",none,none,none,0
@DimaSadek يعمي قلبك شو لئيمه,discredit,misogyny,active,1
@DimaSadek انتي أوطى من البزقة ع الأرض ��,discredit,misogyny,active,1
"@yumnafawaz @rayaelhassan انتي صحافية ومعروفة ومحترمة 
هيك طلع معك ؟
بتأسف تغرّدي هيك عن استاذة محترمة بشغلها 
وحضر… https://t.co/ulZDmOtqL4",none,none,none,0
@yumnafawaz انتي لا شكل ولا مضمون ولا نفسية وتافهة كمان,discredit,misogyny,active,1
@DimaSadek صبط السيد حسن نصر الله أشرف منك ومن عيلتك ومن حزبك ومن بلدك فهمتي يا متصهيني,dominance,misogyny,active,1
@yumnafawaz روحي صلحي لسانك الاعوج اذا حملتي ميكرو ما صرتي محالة سياسية,stereotyping & objectification,misogyny,active,1
@DimaSadek ديما الواطية سدي بوزك بقا,discredit,misogyny,active,1
@NicoleHajal @arkay83 مع لبنان يتغير بس ضد قطع الطرقات في ناس مضطرة تشتغل لتأكل.. انت ما فيكي تحسي بهول الاشياء لأن… https://t.co/2KobFNyH1h,none,none,none,0
@DimaSadek تسلمي يا بنت الاصول,none,none,none,0
@DimaSadek بليز حكمه ضميرك الصحفي مش المهني وفكري بعقل مش بعاطفة ولا حقد,none,none,none,0
@DimaSadek ايتها الحمقاء قال سيدك وسيد البلد لن يسقط العهد,discredit,misogyny,active,1
@DimaSadek يا حنونة انتي خايفة علبنان يا خنزيرة يا وسخة,discredit,misogyny,active,1
@DimaSadek � يا بيبي انت خلقتي عالبيعة بتعرفي شو يعني ،يعني كلك على بعضك ما بتسوي شي�,discredit,misogyny,active,1
@yumnafawaz ما قلتيلنا لي زعبوكي الجديد,none,none,none,0
@berrynawal @Ameen_media انت صحافية و يجب ان تكوني موضوعية #لبنان__ينتفض,none,none,none,0
@DimaSadek ديما سدي بوزك,discredit,misogyny,active,1
@MANSOUR884609 @yumnafawaz يلعن بيّها على هالخلفة الوسخة,damning,misogyny,active,1
"@yumnafawaz للأسف ثورتنا إذا ضلّت بلا رأس بسير المستفيد منها راس 
أنا مع التنان و مش نازل على التنان
منيح؟ ولّا بعيد؟",none,none,none,0
@DimaSadek يا ريت تنزلي تاكلي قتلة انشالله بدعوسوكي��������,threat of violence,misogyny,active,1
@mayaslmn @NicoleHajal ��� غنمة مأصلة هيدي.,stereotyping & objectification,misogyny,active,1
@yumnafawaz @rayaelhassan شدي حنكك انت وعم تحكي ما فهمنا شي.. واخبار للست ريا الحسن تنزل الثوى الامنية تضب الزعران والعملا من الشارع,none,none,none,0
"@DimaSadek ست ديما...
شو هالكلام... لا يليق بك.  
ترفعي.",none,none,none,0
@zTeBUwQfuLXDaCO @KSaghieh @DimaSadek نحن نقرأ تجارب الشعوب ، في كل الثورة السلطة تخرج و تقول من أواجههم متفرقين و… https://t.co/fSmRnnXK2J,none,none,none,0
@yumnafawaz حاج تستهبلي التمويل مش الك يا ماما ولا للشلاعيط اللي بالشارع.. التمويل للكبار اللي عم يحركوكن متل الmar… https://t.co/3y5GMVkh3e,none,none,none,0
@NicoleHajal @arkay83 خليكن بغيبوبة بس لما يسقط لبنان ما تسافري، جوعي مع الشعب ما تهربي!,none,none,none,0
@DimaSadek انتي راس الافعى,discredit,misogyny,active,1
@Fatima96794793 @NicoleHajal كذابة هيدي هول دوار كفررمان نازلين عالنبطية,discredit,misogyny,active,1
@DimaSadek نطالب الدولة بسجن رمز الفتنة #ديما_الواطية,discredit,misogyny,active,1
@yumnafawaz رتويت يا صرماية,discredit,misogyny,active,1
@Sobhiyanajjar @DimaSadek المرأة اللبنانية هي الثورة... https://t.co/RwUXQ5ZtQl,none,none,none,0
@DimaSadek برافو عليكي بتبيني كثير عن أخلاقياتك بالتحاور على العموم إسمه لا يعيبه ولكن تهكمك يهينك أنتي,none,none,none,0
@DimaSadek عاهرة سمعتك الوسخة وملفك عنا https://t.co/a0RGvmW1X3,discredit,misogyny,active,1
@DimaSadek شي بأكبر القلب الف تحية لشعب  وطني المحترم,none,none,none,0
@yumnafawaz رسمياً: يقال عن كلامك إفلاس صحفي.,none,none,none,0
نانسي السبع بالإضافة لكونها بتقدر تميّز كل متظاهر من وين وشو انتمائو الحزبي، اليوم يمكن تعمل خيمة توزع فيها تيكيتس مين بيحقلو ينزل ومين لأ..,none,none,none,0
@yumnafawaz #يمنى_فواز  #إم_نص_لسان,stereotyping & objectification,misogyny,active,1
@DimaSadek ألف تحية لإلك ديما ولصمودك بوجه الهجوم الرخيص والدائم عليك. ❤,none,none,none,0
@DimaSadek الله يحمي الجميع,none,none,none,0
@DimaSadek يا ديما كلك احساس فيك بينرفع الرأس لا تردي ولا تعبيرهم هني تافهين واخساس #كلنا_ديما_صادق,none,none,none,0
"@DimaSadek صار للشرشوحة مرجوحة #ديما_الواطية  
بدك تعملي حالك محللي سياسية وانت بس بتعرفي تحللي Tang  جاهلة",discredit,misogyny,active,1
"@DimaSadek ديما صادق انتي صوت الثورة
انتي صوت المظلومين",none,none,none,0
@DimaSadek اقسم انك اقوى مرا بالكون ���,none,none,none,0
نوال بري الله يحميكي @berrynawal ��,none,none,none,0
@DimaSadek عنجد عم تتهاضمي انت اكتر وحده عارفه بينك وبين حالك انو حرامي عيب عليكن طلعو احكو الحقيقه كرمال التاريخ ي… https://t.co/xHa9h5Lpht,none,none,none,0
@DimaSadek يا ويلي ولك حتى كلمة لسيد بدو مين يفسرك اياه والله متعبه انت خلص احكي وفهمي وحللي متل ما بدك ستين عمرك لتفهمي �,none,none,none,0
@DimaSadek اليوم وصلك حقك لما تبين أنهم حثالة المجتمع �,none,none,none,0
@berrynawal الله يحميكي ست نوال انت وكل اللي معك,none,none,none,0
@DimaSadek والله انك غبية و تافهة ��,discredit,misogyny,active,1
@yumnafawaz @DimaSadek #ديما_الواطية  و #يمنى_بتلدغ,discredit,misogyny,active,1
@DimaSadek أنا حدا بيرفض التبعية بس بقتنع من الصادق وبحترم رأيه، وما بالضرورة ينعمل حملة تجييش عليه��‍♀️,none,none,none,0
@DimaSadek موتي يا مريضة� غصب عنك اشرف منهم  ومنك يا بلا شرف,discredit,misogyny,active,1
@DimaSadek لو بتخرسي وحاجك تحليلاتك الغبيه غبيه لدرجه,discredit,misogyny,active,1
@DimaSadek كلن رح يفلو ورئيسك باقي غصب عن يلي مشغلك !,none,none,none,0
@DimaSadek مقال فتنوي لايفيد الثورة بل يضرها للأسف....,none,none,none,0
@berrynawal عّم تمزحي مش بس انو مزحك تقيل الا انو كذابة كمان,discredit,misogyny,active,1
@DimaSadek يا حلوة واللي كانو  قطعين الطرق شو بقولون,none,none,none,0
"@ali_silia @DimaSadek @washingtonpost @elopezgross احد الممولين لها والداعمين 
كمشناكي يا آدمية �����",none,none,none,0
@DimaSadek ثورتك صارت مفضوحة.. كيف بدك تواجهي ربك انت؟؟,none,none,none,0
@DimaSadek هلأ تذكرتي طرابلس � عجبي منكن يا راكبات امواج قد تغرقكنّ #طرابلس_تنتفض #طرابلس_عاصمة_الثورة,none,none,none,0
اداش قبضت نانسي السبع على علمكن,none,none,none,0
"@DimaSadek انتي انسانة عايشة على البهدلة � او بقلك عفوا اني قلتلك انسانة لاني بهدلت الانسانية 
#ديما_الواطية",discredit,misogyny,active,1
سلام، انتي اللي ذكرتك نانسي السبع اليوم؟ https://t.co/7PRNUA341Z,none,none,none,0
@DimaSadek انتي شو دخلك ب لبنان ؟؟؟�� ليش انتي لبنانيه ��,none,none,none,0
@DimaSadek نسيت قلك  إنوا ما حدا منحط ووضيع من بعدك,discredit,misogyny,active,1
"@DimaSadek لوين بدك توصلي بهالتغريدة؟
يعني بدك اللي ما نزل ينزل والناس تقتل بعضها وبتكوني انبسطتي؟
انتي شو خصك بالث… https://t.co/rLDncDNQ9h",none,none,none,0
@yumnafawaz انه عملو تسوية سوا وبيفللوا سوا. مش هيك؟,none,none,none,0
@DimaSadek الله لا يوفقهم وانشاله كل مين مد ايدو على مال الشعب بيعمى وما يلاقي حدًا يلمو,none,none,none,0
@DimaSadek #ديما_الواطية  شدي همتي بتجيب مركز احسن �,discredit,misogyny,active,1
@DimaSadek أوسخ إعلامية بتاريخ البشرية,discredit,misogyny,active,1
@yumnafawaz بتمنى منك تطلعي مباشر وتحكي هلحكي لنشوف اذا منفهم عليك شي كلمة,none,none,none,0
RT @NicoleHajal: #كلنا_ديما_صادق اليوم وبكرا واللي بعد بعدوا ❤️❤️❤️❤️❤️ @DimaSadek https://t.co/qMT2KU1Nlf,none,none,none,0
منحبك #نوال_بري @berrynawal,none,none,none,0
@DimaSadek و بعتو زعرانن على المظاهرة,none,none,none,0
"@DimaSadek ابشع شي بالحياة لما بكون الانسان ما عارف شو بدو بالظبط.
وانت وحدة من هودي الناس",none,none,none,0
@joellebouyounes @adelkaram9 اكيد رح تكوني منورة متل العادي,none,none,none,0
@berrynawal كل احترام لكي يا حرة,none,none,none,0
"@DimaSadek ديما يا غبية
 حزب الله ما بيتصرف تصرفات صبيانية متل للي عم بيصير.حزب الله إذا أراد لاقتلع التظاهرات من ا… https://t.co/eg9CgDkaCm",discredit,misogyny,active,1
@George_s1st مين #ديما_الواطية,discredit,misogyny,active,1
@Jessicaazar نسيتي حالك كنتي مرشحة عن القوات؟ استحي شوي وبلا مواعظ,discredit,misogyny,active,1
ولله انك بتشرفي الصحافة الحرة .... شكراً @yumnafawaz https://t.co/KWMrLGYyZF,none,none,none,0
@Khaled22738401 @NicoleHajal @Samia77881 بول البعير كتير عليك,discredit,misogyny,active,1
@DimaSadek كاذبة وقابضة,discredit,misogyny,active,1
@DimaSadek @washingtonpost @elopezgross ياسين جابر بحب الرز,none,none,none,0
@crixus_ar @DimaSadek من قلة أخلاقها كان هين عليها تسب امهات العالم بس ما قدرت تتحمل امها تنسبّ. اللي ما بترضي ع حا… https://t.co/YkkRObwvi3,none,none,none,0
"@Jessicaazar ما بفتكر انك على صواب 
لان نصف الشعب ليس معكم 
ولا يوءيدكم لان كل اخباركم 
وخدماتكم مقابل ثمن مادي",none,none,none,0
RT @Eliii_as: أنا السبت رح خصصلك شعار اليافطة لإلك. لأنو بقص إيدي إذا في حدا كذاب وجوعان قدّك. عم تتفوّقي عالسياسيين.  @DimaSadek,discredit,misogyny,active,1
@yumnafawaz الله يوفقك سمعينا سكوتك,none,none,none,0
"@DimaSadek انت اعلامية كيف بتحكي بهاللهجة السوقية؟ 
روحي اشتغلي على أدائك بالنشرة حاج بتقضيها زعيق",none,none,none,0
"@Sky_Walker000 @DimaSadek انه حرام 
هي حلوة كتير كانت. هلق ما بعرف ليه هلقد تعبانة",none,none,none,0
"@DimaSadek شو القصة لعب ولاد صغار...جبران قال وهيدا إجا وهيداك راح
الظاهر بعد ما وصل الصوت بشكل واضح
كل البلا والخراب من جبران",none,none,none,0
"@berrynawal انا متلك لما انضرب بصباط اول شي بشوف نمرتو
يدحريشك شو هبلة",discredit,misogyny,active,1
"@yumnafawaz At least 
ظبتي حواجبك شوي و سؤال كيف صرتي اعلامية؟",stereotyping & objectification,misogyny,active,1
@berrynawal انت اصيلة وبنت اصول,none,none,none,0
@DimaSadek هبل يهبلك اكتر ما انتي هبلة,discredit,misogyny,active,1
@yumnafawaz من هؤلاء!!! ليه بطلتي تعرفي تقري شو مكتوب!!! مخابرات الجيش!! هلقد شايفينا بهايم يعني وجايين تستلمونا!!! من هؤلاء!!!!!,none,none,none,0
@batoulana11 @DimaSadek ���لك الله محييكي �✌️,none,none,none,0
"تقرير اكثر من رائع ... من الجنوب ، شكراً@NicoleHajal وناطرين هيك تقرير عن صيدا وكل الجنوب.
#لبنان_يتنفض 
@DimaSadek https://t.co/N0FnmiGVdz",none,none,none,0
@CynthiaAntoun @joellebouyounes فهمتك غلط بعتذر � فكرتك عمتدافعي عالمعتدين ⚘�,none,none,none,0
@NicoleHajal شو بتفرق نيكول حجل عن فضل شاكر,none,none,none,0
@DimaSadek إنت بالذات اخرسي قبل ما تجيبي سيرة ناس بتشرفك,discredit,misogyny,active,1
@DimaSadek ديما كلي هوا هوا كلي ديما,discredit,misogyny,active,1
"حدا شاف سلاح ظاهر ومجموعات مُسلّحة أو بس نانسي السبع �

#دكانة_الجديد",none,none,none,0
@berrynawal @NBakkour ٤٨ ... شلون تحملتيه,none,none,none,0
@DimaSadek صرمايتو أشرف من راسك خليكي نقبري لعبي ع قدك وما تفكري أنو حجمك بحجم طولك يا ديك النمل,dominance,misogyny,active,1
@Jenniferkeyrou2 @FatimaAlbadawi1 @DimaSadek @Gebran_Bassil يا ست ام ديما حضرتك ست محترمة بس ليش ما عرفت تربّي ديما,none,none,none,0
RT @elias84k: @DimaSadek سدي بوزك يا #ديما_الواطية,discredit,misogyny,active,1
@DimaSadek مشكلتلك مفكرة حالك مهضومة وانت كمخة,discredit,misogyny,active,1
@joellebouyounes @Laraelhachem @hamdan_rima #جيل_الحرية � https://t.co/9yeXcixJ9X,none,none,none,0
@yumnafawaz ولا خبر بتحكي صح,none,none,none,0
@berrynawal #نوال بري خط أحمر,none,none,none,0
@NicoleHajal ١٣ يوم تجييش ما بكفيكي يا هبلا؟,discredit,misogyny,active,1
@DimaSadek رجعتي دشرتي يا ديما الواطيه,discredit,misogyny,active,1
@fakihn @DimaSadek والمنظمة ما بدا مصاري يا زيكو متل المحكمة الدولية بعدو عم ندفع من مالنا,none,none,none,0
"@DimaSadek هوي مش يفهم شو عم بيقول 
#ديما_الجريئة
@DimaSadek",none,none,none,0
@DimaSadek ديما انت من الزعران ومشغلينك الزعران انت بوق صهيوني قذر,discredit,misogyny,active,1
@Arabi21News @DimaSadek واطية #ديما_الواطية,discredit,misogyny,active,1
@yumnafawaz روحي إنضبي ولي,discredit,misogyny,active,1
@DimaSadek انشالله بيقبرك عن قريب,damning,misogyny,active,1
"@DimaSadek يا بقرة... سماحتو قال لن يسقط العهد  
العمى شو دبة",discredit,misogyny,active,1
@Ali_q8e @tantouna_5 @NicoleHajal من كل عقلكن عم تفكروا بهيك أمور تافها لبلد ضاع  أنتو همكن السيد شو حاطة وراه هيدي #الفتن بذاتها,none,none,none,0
@DimaSadek كنت قول عنك واعيه . بس هلق كتير عليك كلمة هبل,discredit,misogyny,active,1
@DimaSadek كنا قلنالك تفضلي عالنبطية بس مدينة المقاومة ما بتتشرف بواطية متلك تدنس ترابها بصير بدنا بحر لتطهر منك #ديما_الواطية,discredit,misogyny,active,1
@MwsAmal @yumnafawaz يا الله الذكاء يلي عندك خارق,none,none,none,0
@DimaSadek بس تنزلي ما تنسي تعوي,discredit,misogyny,active,1
@DimaSadek أكيد ما دفعولك. وما في شي ببلاش.  فينا نعرف شو قدمت مقابل آلمساحة بالواشنطن بوست؟,none,none,none,0
@ghadifrancis @Jessicaazar كيفك نازلة فيهن ���!!,none,none,none,0
"@berrynawal كنا ب #ديما_الوطية
صرنا ب #نوال_البهلة.. يقطع عمرك شو زكية",discredit,misogyny,active,1
@DimaSadek شو بعد ماصدقتي انو بارمة نص الكرة الارضية,none,none,none,0
@DimaSadek انشالله بيقبر قلبك ونخلص من حثالتك,damning,misogyny,active,1
@DimaSadek @HichamHaddad57 @LBCI_NEWS إذا كان الفاسدون العريقون (بكفي السنيورة) يدخلون حلبة استغلال الاحتجاج فما ال… https://t.co/bRVmebH4GM,none,none,none,0
@DimaSadek خلص يا بهيمه انت وحدي بلا دين راس فتنه انت,discredit,misogyny,active,1
@yumnafawaz @YYYYYounes انت بعيده وعم تنظري احد رؤساء المحاور هو الذي افتعل المشكل,none,none,none,0
عيب عليكي يا نانسي السبع,discredit,misogyny,active,1
@DimaSadek يكفي انك حمارة والا كنت حللتي احسن. ؟,discredit,misogyny,active,1
#نانسي السبع لا تشدي على حالك كتير,none,none,none,0
"نساء #لبنان قلب ثورته
@DimaSadek 
@JoyceakikiMTV 
@PaulaYacoubian",none,none,none,0
@DimaSadek و شو من بعد الإستقالة ؟؟؟,none,none,none,0
@DimaSadek اَي وبعدان سدي نيعك,discredit,misogyny,active,1
@ali_bk10 @yumnafawaz شو خبيثه,discredit,misogyny,active,1
@joellebouyounes بطلة. قلبنا معكُن. انتو عم تاكلو كل هل بهدلات بالنيابة عن كل واحد شريف آدمي قاعد بالبيت قرفان من… https://t.co/BhQc4t39PV,none,none,none,0
@DimaSadek اذا بتفهمي،  حتى لو كنتي ساقطة فما بيمنع يدافع عنك كمان. عادي,discredit,misogyny,active,1
@yumnafawaz والله يا ست لما بتحكي ب هاي الطريقة منسمعك سمعو السيد مليح بقلوبكم بتعرفو انو هوي اكتر واحد متلنا ومتلكم,none,none,none,0
@DimaSadek #السيد_حسن_نصر_الله داعم أساسي لمطالب المتظاهرين السلميين وفي مقدمتها محاربة الفساد والعيش الكريم.. البع… https://t.co/aMAOF1NTdX,none,none,none,0
@DimaSadek اه يا هبيله من وين بتجيبي الفهم  انت عندك عقل,discredit,misogyny,active,1
@DimaSadek @mapakao انشالله بيقبرك كلك على بعضك لانك بلا فهم واضح انك غشيمه مش رح قللك عم تستغشمي العالم لان العالم… https://t.co/EvOH8U4jvY,damning,misogyny,active,1
"@DimaSadek @AhmadBallout15 ديما..عملي ريسيرتش عن ٧ ايار و شوفي المخطط اللي كان مرسوم للبنان..
لولا ٧ ايار كان لبنان… https://t.co/lOQKAli4oe",none,none,none,0
@DimaSadek انضبي يا مرتزقة,discredit,misogyny,active,1
"@DimaSadek #ديما_الوطية قال العهد مش الحكومة 
بس قلبك معمي �",discredit,misogyny,active,1
@DimaSadek يلعن البطن اللي جابتك,damning,misogyny,active,1
@DimaSadek انت وحدة فاسدة ومفسدة وساقطة,discredit,misogyny,active,1
@DimaSadek نصرالله اكيد ما عنده زعران وأنتي بتعرفي هالشي كتير منيح وهيدا الشي بالظبط يلي زاعج ناس كتير وخصوصا وحدة متلك تافهة بصفة إعلامية,discredit,misogyny,active,1
@DimaSadek مين علمك اللغة العربية ؟؟؟ ما نفع الإنسان اذا امتلئت جيوبه بالمال المشبوه وخسر كرامته �,none,none,none,0
"تحية وطنية وثورية للمراسلات الجريئات 
@AkikiJoyce @berrynawal في كل الثورات الشرفاء مستهدفين ...
كل التضامن والإنحناء أمام تضحياتكن .",none,none,none,0
@DimaSadek نشالله بتنقبري بحظيرة خنازير يا #ديما_الواطية,discredit,misogyny,active,1
@GeorgesSfeir14 @DimaSadek كلن يعني كلن هيدا شعارنا و انا 6 سنين و بعدني بالغربة و انا ضد الكل بس انا هاجمتها لان ف… https://t.co/wqZnDVs4dF,none,none,none,0
@NadimKoteich @aliimortada @DimaSadek @HichamHaddad57 ازا اميركا عم توزع مناقيش زعتر تحت .تنزل ايران توزع مناقيش بيتزا .مش تطلع العالم,none,none,none,0
@DimaSadek قال لا نؤيد سقوط الحكومة هبلة فهمنا كمان طرشة��,discredit,misogyny,active,1
@DimaSadek حبيت صبح عليكي دمدوم بونجور  خلي زوجك يشوفهم بلكي بيتعلم الرجوله شوي وبضبك حاجتك فلتانه شفناكي مبارك من… https://t.co/GngBKjnqeq,stereotyping & objectification,misogyny,active,1
@DimaSadek حسن نصر الله قال لن يسقط العهد مش الحكومه,none,none,none,0
@DimaSadek يفتح بلعك شو انك دبلة,discredit,misogyny,active,1
@DimaSadek @josephinedeeb @AkikiJoyce كل التضامن مع جوزفين و مع جويس، هم الاعلام الحقيقي بغض النظر اذا نتفق مع ارائ… https://t.co/BNckIPxN0N,none,none,none,0
@yumnafawaz فيكي تسميهن اتباع بس غنم ايهاني لزملاءك بالوطن بعدن ممكن هل تسمية تنطبق عليكي وعلي محركك,none,none,none,0
@DimaSadek واوووووو شو مقهورة من باسيل لان ما بيلتكشك  على حسب مقولتك تفه بنص وجك رتش وانضبي,discredit,misogyny,active,1
"@DimaSadek 

ديما صادق شكرا الك وشكرا LLDC عالحلقة الرائعة تبع مبارح من طرابلس ساحة النور وبتمنى يصير توعية اكتر عن… https://t.co/8iQQ3O6UyE",none,none,none,0
"RT @lhadamikilla: نانسي السبع ما قبلت حدا يحكي ع حزب الله ع الميكرو تبعا☻
ضيعة ضايعة��������",none,none,none,0
@DimaSadek @revolution1688 الاحترام والتقدير لكم من الاردن الشعب اللبناني شعب عظيم وبعون الله ستنتصرون على قوى الظلام في الضاحية الجنوبية.,none,none,none,0
@romanti41406173 @yumnafawaz كللك ذوق,none,none,none,0
@DimaSadek انضبي يا فاجرة يا واطية، الجيش خط أحمر,discredit,misogyny,active,1
@samyachoukair33 @Abdulra94274619 @DimaSadek ربي يسعدكم  ويهدي بالكم  ويحفظكم من كل شر .,none,none,none,0
@DimaSadek حقيرة متطاولة بلا أدب ومش مرباية,discredit,misogyny,active,1
@DimaSadek فشرتي على رقبتك سيدنا يقبرك,damning,misogyny,active,1
@DimaSadek بعمري ما شفت انسان حقود مثلك يا ديما الواطية,discredit,misogyny,active,1
@ib_red_d @DimaSadek ديما الواطية بدها مسلات مع اكياس مصل مش ابر لتشعر بالكرامة ومش ديما الواطية بتدعينا لنكون لبنا… https://t.co/toUN6hmx7i,discredit,misogyny,active,1
@DimaSadek  تفوووووووووو على شكلك,discredit,misogyny,active,1
@yumnafawaz مخابرات جيش يا فتنوية,discredit,misogyny,active,1
@yumnafawaz @saadhariri معك حق من شوي طلع الحريري واعلن الاستقالة ما شفتيه له له له يا صحفيات العار,stereotyping & objectification,misogyny,active,1
@thetiger03 @bchra_6_6_M نانسي عمليت قصيدة الصبح ��بكيت من  حنانا ����وهني 229 الف مخلوق ما قدروا يجمعوا ���بشرفك عملنا #سلسة السبع,none,none,none,0
@DimaSadek جهزي حالك لتطلعي معهن بالباص الاخضر ! وخدي عا ثوره اد ما بدك #ديما_الواطية,discredit,misogyny,active,1
@DimaSadek تفه عليك يا نسناسة يا واطية. الرجل قدم كل ما لديه للقضاء و هو قال انه يتابع الإجراءات القانونية لتأخذ العدالة مجراها عبر القضاء.,discredit,misogyny,active,1
@DimaSadek احترمي حالك وحدة مبهدلة بتسوى صرماية اعتق من عتيقة روحي انضبي,discredit,misogyny,active,1
@berrynawal بحبك لأنك بتحكي الحق,none,none,none,0
@DimaSadek @LBCI_NEWS @JeanFeghali يخليلي الجمال. شو هل كنزة الحلوة,none,none,none,0
@DimaSadek هودي الواطيين كنتي عم تعتاشي من وراهن يا جاحدة,discredit,misogyny,active,1
@DimaSadek كذابة ومنافقة كل الاعيبكن مفضوحة,discredit,misogyny,active,1
@Jessicaazar انتو السبب اله يلعن ابوكي ����,damning,misogyny,active,1
"@yumnafawaz @General_Aoun عيب عليكي تهيني رئيسك عيب
مستغرب منك جدا",discredit,misogyny,active,1
"@sabehnancy @aliimortada نانسي السبع@sabehnancy انت اعلامية حرة وعلى قدر الثقة
من مؤيد للمقاومة لحضرة جنابكم
بس عبرينا�",none,none,none,0
كلنا ديما صادق الله معك@DimaSadek,none,none,none,0
@AAAM28349369 @DimaSadek @LBCI_NEWS @JeanFeghali اسمك على طموحك خليك حلام ���,none,none,none,0
@DimaSadek يا ريت امك سقّطت يا ديما قبل ما تخلّفك يا شيطان متفشّي مش هيك بتكون الثورة يا حرباية,discredit,misogyny,active,1
@yumnafawaz @General_Aoun ما اقرف بوزك.ام نص لساة,stereotyping & objectification,misogyny,active,1
@zeina23014502 @berrynawal موتي بغيظك,damning,misogyny,active,1
@DimaSadek يا ريتك كنتي تحت لندعوسك,threat of violence,misogyny,active,1
@yumnafawaz @DimaSadek جايي الدكتور بشار ما ح يخليكون تنتظروا كتير,none,none,none,0
@yumnafawaz @BeitELKell نحنا مكملين معكِ وحكياتك حلويين وتعودنا عليك ومنعرف صوتك من مئات الصحفيات,none,none,none,0
@Jessicaazar عم تسنى سنانك يا قلبى صرتى بتنتمى للبنان اولا واخيرا ليه حضرتك مع مين كنتى مرشحى بلانتخابات النيابية؟؟!!!!....,none,none,none,0
@DimaSadek @josephinedeeb بس يا ديما عم ينقلوا اخبار كاذبة، اوكي اعلام حر بس مش اعلام كذّاب! ما في ثقة.. تعبنا,none,none,none,0
"@DimaSadek شكرا ديما.. كلامك عن طرابلس نابع من القلب.. و بتمنى ارحع من الغربة باسرع وقت تا اقدر شارك بعالعرس الوطني
#لبنان_ينتفض",none,none,none,0
@DimaSadek بزعل عليكي انا كتير . حياتك فارغة . جوزك خانك و بنتك مش حدك . #شفقة,discredit,misogyny,active,1
@DimaSadek الله يعين المجتمع ع قلة فهمك و استيعابك �,discredit,misogyny,active,1
@NicoleHajal وانتي ليش زعلانة ؟مش انتو كنتو تدعو للوحدة الوطنية,none,none,none,0
"@DimaSadek سكري بوذك يا مفتنه يا مأجورة 
لا عيب الشوم عليك 
لو بتحسي و عندك شوية دم بعد النصايح و الشتائم اللي توجه… https://t.co/PGtnf3ifHq",discredit,misogyny,active,1
@NicoleHajal @arkay83 انتو لصحافية معاشاتكن اخر ليرة بيتقبضوا..خلي يعطوكي نص معاش بهالوضع و شوفي شو بتعملي,none,none,none,0
@DimaSadek عنجد أنت  معاقة جسدياً وفكرياً,discredit,misogyny,active,1
@DimaSadek لمّا قلت عنّك جحشة ما غلطت و حمارة كمان,discredit,misogyny,active,1
@DimaSadek وجع يخلع نيعك,damning,misogyny,active,1
@DimaSadek @DimaSadek مش حرام هالجمال يكون معصب ����,none,none,none,0
@DimaSadek بليز لا تحكي عن الشرف. �,none,none,none,0
"RT @bakizza8loul: @DimaSadek كل الحب كل الحب #كلنا_ديما_صادق 
عنجد عيونك بتحكي ادي انتي انسانة شريفة وصادقة ✌��� تحية اهل #طرابلس https://t…",none,none,none,0
@berrynawal معش تطبلي,none,none,none,0
@DimaSadek مش عاجبك سلاح حزب الله يا ست ديما.. نحنا اهل الجنوب عاجبنا و بدنا ياه خليك ببيروت ما خصك فينا العما بقلبك,discredit,misogyny,active,1
@yumnafawaz حدًا يجبلها الزيح لتروق أعصابها المسترجلي,stereotyping & objectification,misogyny,active,1
@MariamAlbassam رجاء ست مريم سحب نانسي السبع من تغطية اللي عم يصير وارسال حدا ينقل الصورة بدون فزلكة وحكي من راسها.… https://t.co/g0RbHYWk5U,none,none,none,0
"@yumnafawaz العمى بعيونك.
استعيري نادور سامي",discredit,misogyny,active,1
@DimaSadek النائب جبران باسيل يا جاهلة,discredit,misogyny,active,1
@DimaSadek واعتقد انه خليفه خامنيئ القادم لإيران,none,none,none,0
@yumnafawaz @General_Aoun انتي بالذات عيرينا سكوتك,none,none,none,0
